巡检项,巡检总数,成功数,成功百分比
设备信息,493,480,97.36,0
设备资产,493,493,100.00,0
设备网卡,3498,3492,99.82,0
网卡流量,3445,3426,99.44,0
CPU与内存,493,459,93.10,15
磁盘超限,4123,3937,95.48,0
安全检测,9,0,0,15
双机状态,31,30,96.77,0
预警检查,86,0,0,15
业务配置,481,299,62.16,15
业务告警,816,273,33.45,15
POP信息,67,57,85.07,15
Mount信息,1204,1079,89.61,15
频道录制,6969,6966,99.95,0
HMS用户,342,311,90.93,15
EPG用户,109,93,85.32,15
内容调度,67,39,58.20,15
用户调度,68,58,85.29,15
业务统计,451,451,100.00,0
频道热度,291,291,100.00,0
UMS巡检,0,0,100.00,0
Storage资产,0,0,100.00,0
Storage告警,350,0,0,15
Storage坏盘,0,0,100.00,0
Storage性能,0,0,100.00,0
T3000检查,0,0,100.00,0
DB表空间,29,17,58.62,15
DB性能,32,29,90.62,15
机顶盒版本统计,0,0,100.00,0
