POPID,UPID,POP点,总空间(GB),占用空间(GB),占用率,EPG容量,EPG峰值,EPG负荷,HMS容量,HMS峰值,HMS负荷,高峰点播,高峰直播,高清,标清
1,0,CenterNode,95310,85024,89%,15400,10210,66%,11100,2726,25%,2535,151,1014,1672,0
2,1,sub_null,0,0,0%,,,0%,,0,0%,,,,,0
3,1,SUB1_BS,98734,36582,37%,7600,94,1%,12840,480,4%,382,0,162,222,0
7,3,BS_EDGE1,0,0,0%,11400,,0%,,0,0%,,,,,0
8,3,BS_EDGE2,0,0,0%,7600,,0%,,0,0%,,,,,0
12,3,BS_EDGE3,7242,6355,88%,7600,4353,57%,4025,1646,41%,1239,385,306,1318,0
13,3,BS_EDGE4,10883,9670,89%,7600,4262,56%,5750,2173,38%,1803,370,434,1738,0
15,3,BS_EDGE6,4468,3887,87%,7600,6093,80%,4600,2557,56%,1883,674,357,2199,0
18,3,BS_EDGE5,4468,4468,100%,7600,4890,64%,4600,1903,41%,1336,567,249,1648,48
34,3,BS_EDGE7,27948,24531,88%,7600,4053,53%,4600,2343,51%,2006,337,441,1900,0
54,3,BS_EDGE8,167526,55460,33%,16000,10413,65%,12000,6443,54%,5483,955,1342,5101,0
62,3,awangtest,785,748,95%,,,0%,1000,0,0%,,,,,48
4,1,SUB2_NQ,92955,55993,60%,7600,129,2%,7400,694,9%,669,8,192,489,3072
5,4,NQ_EDGE1,0,0,0%,7600,,0%,,0,0%,,,,,0
6,4,NQ_EDGE2,0,0,0%,7600,,0%,,0,0%,,,,,0
11,4,NQ_EDGE3,14885,13121,88%,7600,4644,61%,5800,1998,34%,1361,605,339,1635,0
14,4,NQ_EDGE4,10709,9413,88%,7600,5850,77%,5500,2025,37%,1490,532,190,1835,0
16,4,NQ_EDGE5,20972,18137,86%,7600,4971,65%,6400,2504,39%,1803,700,558,1946,0
17,4,NQ_EDGE6,20973,18282,87%,7600,4061,53%,6400,2134,33%,1542,580,511,1611,0
30,4,NQ_EDGE7,27831,23998,86%,7600,4086,54%,3750,2136,57%,1540,594,453,1683,0
19,1,SUB3_XM,82452,28243,34%,7600,70,1%,14800,174,1%,121,0,48,73,0
20,19,XM_EDGE1,10034,9687,97%,7600,3461,46%,6400,1583,25%,1185,393,249,1330,48
21,19,XM_EDGE2,21167,18970,90%,7600,2657,35%,6400,1275,20%,898,341,389,849,0
22,19,XM_EDGE3,16494,14857,90%,7600,3667,48%,6400,2093,33%,1563,518,566,1510,48
32,19,XM_EDGE4,27831,24470,88%,7600,2264,30%,3750,1482,40%,1157,325,498,983,0
33,19,XM_EDGE5,27831,24419,88%,7600,3115,41%,3750,1600,43%,1178,412,521,1066,0
56,19,XM_EDGE6,59488,26369,44%,16000,,0%,12000,1974,16%,1445,439,710,1174,0
57,19,XM_EDGE7,59488,25235,42%,16000,,0%,12000,2484,21%,1810,640,999,1452,0
23,1,SUB4_PD,6820,6001,88%,7600,76,1%,4800,485,10%,421,12,164,271,0
9,23,PD_EDGE1,9128,8140,89%,7600,4650,61%,6600,1995,30%,1588,407,371,1616,0
10,23,PD_EDGE2,6861,6848,100%,7600,4060,53%,6000,1711,29%,1259,452,340,1364,48
24,23,PD_EDGE3,6820,6155,90%,7600,5060,67%,4800,2665,56%,330,179,85,424,48
25,23,PD_EDGE4,6820,6087,89%,7600,5063,67%,4800,2634,55%,1857,763,566,2059,0
29,23,PD_EDGE5,27831,24540,88%,7600,2306,30%,3750,2105,56%,1420,677,569,1528,0
31,23,PDBY6,27831,24266,87%,7600,4536,60%,3750,2108,56%,1489,611,507,1600,0
35,1,SUB5_XQ,109922,46899,43%,7600,2419,32%,12440,1356,11%,991,335,299,1026,0
36,35,XQ_EDGE1,27831,24629,88%,7600,3097,41%,4600,1392,30%,976,411,405,983,0
55,35,XQ_EDGE2,66924,55526,83%,16000,4729,30%,12000,2472,21%,1754,718,852,1616,0
58,35,XQ_EDGE3,59488,19015,32%,,,0%,12000,275,2%,149,92,127,114,0
59,35,XQ_EDGE4,59488,21744,37%,,,0%,12000,238,2%,158,76,124,112,0
37,1,SUB6_FX,109922,24720,22%,7600,92,1%,11300,283,3%,210,42,144,108,0
26,37,FX_EDGE1,20837,13596,65%,7600,4535,60%,6400,1805,28%,1231,574,400,1405,0
38,37,FX_EDGE2,27831,17378,62%,7600,2239,29%,3750,1122,30%,797,319,365,749,0
63,37,FX_EDGE3,20508,668,3%,,,0%,6000,0,0%,0,0,0,0,0
64,37,FX_EDGE4,35321,665,2%,,,0%,6000,0,0%,0,0,0,0,0
39,1,SUB7_ZQ,109987,47613,43%,7600,61,1%,10800,429,4%,389,8,144,252,0
27,39,ZQ_EDGE1,5362,4831,90%,7600,3157,42%,4800,1718,36%,1275,443,414,1303,48
28,39,ZQ_EDGE2,16801,14967,89%,7600,1247,16%,6400,1345,21%,965,380,404,935,0
41,39,ZQYN_EDGE1,66924,52659,79%,16000,11132,70%,12000,3776,31%,2944,832,668,3107,0
42,39,ZQYN_EDGE2,66924,55862,83%,16000,11947,75%,12000,4423,37%,3103,1320,1143,3279,0
43,39,ZQYN_EDGE3,61313,52503,86%,16000,9950,62%,12000,4611,38%,3234,1377,1070,3537,0
44,39,ZQYN_EDGE4,66924,36822,55%,,,0%,,0,0%,,,,,0
40,1,SUB8_PD2,90742,38285,42%,16000,32,0%,12000,810,7%,758,34,305,494,0
45,40,PD_EDGE7,70648,62259,88%,16000,13905,87%,12000,6916,58%,5415,1496,1817,5099,384
46,40,PD_EDGE8,67636,59119,87%,16000,11996,75%,12000,6720,56%,5175,1451,1769,4855,0
47,40,PD_EDGE9,70648,61934,88%,16000,10796,67%,12000,6333,53%,4990,1343,1561,4768,0
48,40,PD_EDGE10,70648,61876,88%,16000,13105,82%,12000,5700,48%,4576,1104,981,4699,384
49,1,SUB9_NQ2,101713,59130,58%,16000,1026,6%,2000,924,46%,673,237,204,704,0
50,49,NQZJB_EDGE1,35321,30317,86%,8000,819,10%,6000,451,8%,320,51,59,310,0
51,49,NQZJB_EDGE2,70642,61424,87%,16000,9902,62%,12000,4467,37%,3332,1135,913,3545,0
52,49,NQZJB_EDGE3,0,0,0%,,,0%,,0,0%,,,,,0
60,49,JDYC-EDGE1,59488,23752,40%,,,0%,12000,0,0%,0,0,0,0,0
61,49,SJFT_EDGE1,58743,23264,40%,,,0%,12000,0,0%,0,0,0,0,0
65,49,CMXXDL_EDGE1,29744,19496,66%,,,0%,6000,0,0%,0,0,0,0,0
66,49,QPWS_EDGE1,59488,20681,35%,,,0%,12000,0,0%,0,0,0,0,0
67,49,JSZJ_EDGE1,59488,20439,34%,,,0%,12000,0,0%,0,0,0,0,0
53,1,JD_EDGE1,17553,15706,89%,,,0%,,0,0%,,,,,0
